\\ \
\less <
\equal =
\greater >
\mathyen ¥
\mathsection §
\neg ¬
\pm ±
\mathparagraph ¶
\cdotp ·
\times ×
\matheth ð
\div ÷
\Zbar Ƶ
\grave ̀
\acute ́
\hat ̂
\widehat ̂
\tilde ̃
\widetilde ̃
\bar ̄
\overbar ̅
\wideoverbar ̅
\breve ̆
\widebreve ̆
\dot ̇
\ddot ̈
\ovhook ̉
\ocirc ̊
\check ̌
\widecheck ̌
\candra ̐
\oturnedcomma ̒
\ocommatopright ̕
\droang ̚
\wideutilde ̰
\mathunderbar ̲
\not ̸
\underleftrightarrow ͍
\Alpha Α
\Beta Β
\Gamma Γ
\Delta Δ
\Epsilon Ε
\Zeta Ζ
\Eta Η
\Theta Θ
\Iota Ι
\Kappa Κ
\Lambda Λ
\Mu Μ
\Nu Ν
\Xi Ξ
\Omicron Ο
\Pi Π
\Rho Ρ
\Sigma Σ
\Tau Τ
\Upsilon Υ
\Phi Φ
\Chi Χ
\Psi Ψ
\Omega Ω
\alpha α
\beta β
\gamma γ
\delta δ
\varepsilon ε
\zeta ζ
\eta η
\theta θ
\iota ι
\kappa κ
\lambda λ
\mu μ
\nu ν
\xi ξ
\omicron ο
\pi π
\rho ρ
\varsigma ς
\sigma σ
\tau τ
\upsilon υ
\varphi φ
\chi χ
\psi ψ
\omega ω
\vartheta ϑ
\phi ϕ
\varpi ϖ
\upDigamma Ϝ
\updigamma ϝ
\varkappa ϰ
\varrho ϱ
\varTheta ϴ
\epsilon ϵ
\upbackepsilon ϶
\horizbar ―
\Vert ‖
\twolowline ‗
\dagger †
\ddagger ‡
\smblkcircle •
\enleadertwodots ‥
\unicodeellipsis …
\prime ′
\dprime ″
\trprime ‴
\backprime ‵
\backdprime ‶
\backtrprime ‷
\caretinsert ‸
\Exclam ‼
\tieconcat ⁀
\hyphenbullet ⁃
\fracslash ⁄
\Question ⁇
\closure ⁐
\qprime ⁗
\euro €
\leftharpoonaccent ⃐
\overleftharpoon ⃐
\rightharpoonaccent ⃑
\overrightharpoon ⃑
\vertoverlay ⃒
\overleftarrow ⃖
\overrightarrow ⃗
\vec ⃗
\dddot ⃛
\ddddot ⃜
\enclosecircle ⃝
\enclosesquare ⃞
\enclosediamond ⃟
\overleftrightarrow ⃡
\enclosetriangle ⃤
\annuity ⃧
\threeunderdot ⃨
\widebridgeabove ⃩
\underrightharpoondown ⃬
\underleftharpoondown ⃭
\underleftarrow ⃮
\underrightarrow ⃯
\asteraccent ⃰
\BbbC ℂ
\Eulerconst ℇ
\mscrg ℊ
\mscrH ℋ
\mfrakH ℌ
\BbbH ℍ
\Planckconst ℎ
\hslash ℏ
\mscrI ℐ
\Im ℑ
\mscrL ℒ
\ell ℓ
\BbbN ℕ
\wp ℘
\BbbP ℙ
\BbbQ ℚ
\mscrR ℛ
\Re ℜ
\BbbR ℝ
\BbbZ ℤ
\mho ℧
\mfrakZ ℨ
\turnediota ℩
\Angstrom Å
\mscrB ℬ
\mfrakC ℭ
\mscre ℯ
